"Dato";"Nye (engelsk)";"Nye (andre)";"Nye (alle)";">5 (engelsk)";">5 (andre)";">5 (alle)";">100 (engelsk)";">100 (andre)";">100 (alle)"
"jan2010";8001;10349;18350;40148;50764;90912;4007;7426;11433
"okt2009";8841;9507;18348;39786;46952;86738;3877;6925;10802
"jul2009";9259;9888;19147;40188;47201;87389;3911;6893;10804
"apr2009";9225;9428;18653;40788;45581;86369;4011;6700;10711
"jan2009";9598;10620;20218;42499;48352;90851;4263;7093;11356
"okt2008";9675;9492;19167;41746;45002;86748;4142;6579;10721
"jul2008";9953;9964;19917;42300;45059;87359;4245;6797;11042
"apr2008";11010;9693;20703;45747;44307;90054;4372;6456;10828
"jan2008";10539;10979;21518;44698;47084;91782;4444;7057;11501
"okt2007";11283;9660;20943;46446;42734;89180;4401;6427;10828
"jul2007";11726;9420;21146;47199;40981;88180;4647;6442;11089
"apr2007";13869;10060;23929;52799;40842;93641;5024;6248;11272
"jan2007";13866;10406;24272;50849;40394;91243;4985;6148;11133
"okt2006";11757;8444;20201;43215;33271;76486;4309;5314;9623
"jul2006";11108;7883;18991;38386;29592;67978;4264;4845;9109
"apr2006";8974;6853;15827;31407;25082;56489;3471;4065;7536
"jan2006";7593;6240;13833;25041;21552;46593;3247;3936;7183
"okt2005";3894;3859;7753;14625;14905;29530;1906;2791;4697
"jul2005";3477;3828;7305;12351;13127;25478;1762;2485;4247
"apr2005";2366;2824;5190;8539;9980;18519;1311;1910;3221
"jan2005";1397;2014;3411;5850;7395;13245;845;1420;2265
"okt2004";1354;1732;3086;4807;6019;10826;760;1154;1914
"jul2004";986;1526;2512;3621;4775;8396;621;990;1611
"apr2004";723;1123;1846;2694;3650;6344;492;739;1231
"jan2004";387;557;944;1485;1704;3189;285;389;674
"okt2003";326;285;611;1115;972;2087;194;216;410
"jul2003";252;264;516;858;731;1589;163;158;321
"apr2003";128;121;249;502;370;872;121;86;207
"jan2003";157;157;314;494;345;839;115;74;189
"okt2002";109;78;187;324;183;507;99;40;139
"jul2002";61;29;90;203;77;280;48;27;75
"apr2002";26;20;46;140;59;199;28;9;37
"jan2002";56;20;76;157;47;204;21;5;26
"okt2001";42;14;56;118;24;142;12;0;12
"jul2001";12;2;14;40;7;47;;0;
"apr2001";7;2;9;20;0;20;2;0;2
"jan2001";7;0;7;9;0;9;;0;
